time,value,zealot,state
0,0.00025481180066096745,1.0,0
0,0.00035010942712261503,1.0,1
1,0.00026164616680787484,1.0,0
1,0.00035364568752605034,1.0,1
2,0.00026940876720017986,1.0,0
2,0.0003572175068650874,1.0,1
3,0.00027807461854221556,1.0,0
3,0.00036082523902546744,1.0,1
4,0.00028751350452763916,1.0,0
4,0.00036446924133671436,1.0,1
5,0.00029748390709361373,1.0,0
5,0.0003681498746040703,1.0,1
6,0.0003076578330049079,1.0,0
6,0.00037186750314069356,1.0,1
7,0.00031767482423082123,1.0,0
7,0.00037562249480012583,1.0,1
8,0.000327207926911217,1.0,0
8,0.0003794152210090254,1.0,1
9,0.00033601732940897707,1.0,0
9,0.00038324605680017254,1.0,1
10,0.00034397465831620985,1.0,0
10,0.0003871153808457458,1.0,1
11,0.0003510564758085282,1.0,0
11,0.000391023575490871,1.0,1
12,0.0003573178990515021,1.0,0
12,0.0003949710267874459,1.0,1
13,0.00036286042252197504,1.0,0
13,0.00039895812452824106,1.0,1
14,0.0003678040490472431,1.0,0
14,0.0004029852622812784,1.0,1
15,0.000372267937675925,1.0,0
15,0.00040705283742449014,1.0,1
16,0.0003763594579450492,1.0,0
16,0.0004111612511806577,1.0,1
17,0.00038016958318324364,1.0,0
17,0.000415310908652635,1.0,1
18,0.00038377226874796897,1.0,0
18,0.00041950221885885523,1.0,1
19,0.0003872259351491542,1.0,0
19,0.0004237355947691224,1.0,1
20,0.000390575810670262,1.0,0
20,0.0004280114533406934,1.0,1
21,0.000393856417712461,1.0,0
21,0.00043233021555464567,1.0,1
22,0.00039709384880171484,1.0,0
22,0.0004366923064525378,1.0,1
23,0.0004003076950732408,1.0,0
23,0.0004410981551733614,1.0,1
24,0.0004035126061564527,1.0,0
24,0.00044554819499078663,1.0,1
25,0.0004067195146279845,1.0,0
25,0.00045004286335070283,1.0,1
26,0.0004099365779296507,1.0,0
26,0.00045458260190905556,1.0,1
27,0.00041316989288184156,1.0,0
27,0.0004591678565699834,1.0,1
28,0.00041642403238519396,1.0,0
28,0.0004637990775242524,1.0,1
29,0.00041970244574527423,1.0,0
29,0.0004684767192879925,1.0,1
30,0.0004230077557767694,1.0,0
30,0.00047320124074173733,1.0,1
31,0.00042634197850419575,1.0,0
31,0.0004779731051697671,1.0,1
32,0.0004297066851997741,1.0,0
32,0.00048279278029975684,1.0,1
33,0.0004331031216665339,1.0,0
33,0.0004876607383427344,1.0,1
34,0.00043653229592785584,1.0,0
34,0.0004925774560333427,1.0,1
35,0.0004399950426283282,1.0,0
35,0.0004975434146704153,1.0,1
36,0.00044349207029833077,1.0,0
36,0.0005025591001578606,1.0,1
37,0.00044702399602579803,1.0,0
37,0.0005076250030458634,1.0,1
38,0.00045059137088275183,1.0,0
38,0.0005127416185723929,1.0,1
39,0.0004541946985690013,1.0,0
39,0.0005179094467050346,1.0,1
40,0.0004578344490820999,1.0,0
40,0.0005231289921831328,1.0,1
41,0.0004615110687415052,1.0,0
41,0.0005284007645602542,1.0,1
42,0.00046522498754107683,1.0,0
42,0.0005337252782469703,1.0,1
43,0.0004689766245441789,1.0,0
43,0.0005391030525539608,1.0,1
44,0.0004727663918449231,1.0,0
44,0.0005445346117354396,1.0,1
45,0.0004765946974791917,1.0,0
45,0.0005500204850329018,1.0,1
46,0.000480461947566525,1.0,0
46,0.0005555612067191988,1.0,1
47,0.00048436854788877514,1.0,0
47,0.000561157316142937,1.0,1
48,0.0004883149050563525,1.0,0
48,0.0005668093577732049,1.0,1
49,0.0004923014273725324,1.0,0
49,0.0005725178812446268,1.0,1
50,0.0004963285254767343,1.0,0
50,0.0005782834414027481,1.0,1
51,0.0005003966128260184,1.0,0
51,0.0005841065983497498,1.0,1
52,0.0005045061060582075,1.0,0
52,0.0005899879174904963,1.0,1
53,0.0005086574252684041,1.0,0
53,0.0005959279695789136,1.0,1
54,0.0005128509942221799,1.0,0
54,0.0006019273307647049,1.0,1
55,0.0005170872405224853,1.0,0
55,0.0006079865826403992,1.0,1
56,0.000521366595742757,1.0,0
56,0.0006141063122887353,1.0,1
57,0.0005256894955353648,1.0,0
57,0.0006202871123303868,1.0,1
58,0.0005300563797220961,1.0,0
58,0.000626529580972021,1.0,1
59,0.0005344676923715787,1.0,0
59,0.0006328343220546997,1.0,1
60,0.0005389238818672307,1.0,0
60,0.0006392019451026193,1.0,1
61,0.0005434254009683743,1.0,0
61,0.0006456330653721916,1.0,1
62,0.0005479727068664323,1.0,0
62,0.0006521283039014699,1.0,1
63,0.0005525662612376252,1.0,0
63,0.0006586882875599116,1.0,1
64,0.0005572065302932,1.0,0
64,0.0006653136490984919,1.0,1
65,0.0005618939848279484,1.0,0
65,0.0006720050272001561,1.0,1
66,0.000566629100267572,1.0,0
66,0.0006787630665306215,1.0,1
67,0.0005714123567152986,1.0,0
67,0.0006855884177895232,1.0,1
68,0.0005762442389980525,1.0,0
68,0.0006924817377619082,1.0,1
69,0.0005811252367123964,1.0,0
69,0.0006994436893700754,1.0,1
70,0.0005860558442704025,1.0,0
70,0.0007064749417257651,1.0,1
71,0.00059103656094558,1.0,0
71,0.0007135761701826982,1.0,1
72,0.0005960678909189374,1.0,0
72,0.0007207480563894634,1.0,1
73,0.0006011503433252486,1.0,0
73,0.0007279912883427556,1.0,1
74,0.0006062844322995723,1.0,0
74,0.000735306560440963,1.0,1
75,0.0006114706770240557,1.0,0
75,0.0007426945735381091,1.0,1
76,0.0006167096017750522,1.0,0
76,0.0007501560349981431,1.0,1
77,0.0006220017359705733,1.0,0
77,0.0007576916587495833,1.0,1
78,0.0006273476142180861,1.0,0
78,0.0007653021653405127,1.0,1
79,0.000632747776362675,1.0,0
79,0.0007729882819939289,1.0,1
80,0.0006382027675355679,1.0,0
80,0.0007807507426634459,1.0,1
81,0.0006437131382030421,1.0,0
81,0.0007885902880893483,1.0,1
82,0.0006492794442157107,1.0,0
82,0.0007965076658550015,1.0,1
83,0.000654902246858195,1.0,0
83,0.000804503630443614,1.0,1
84,0.0006605821128991897,1.0,0
84,0.0008125789432953544,1.0,1
85,0.0006663196146419179,1.0,0
85,0.0008207343728648237,1.0,1
86,0.0006721153299749891,1.0,0
86,0.0008289706946788771,1.0,1
87,0.0006779698424236501,1.0,0
87,0.000837288691394807,1.0,1
88,0.0006838837412014436,1.0,0
88,0.0008456891528588754,1.0,1
89,0.0006898576212622675,1.0,0
89,0.0008541728761651997,1.0,1
90,0.0006958920833528426,1.0,0
90,0.0008627406657149979,1.0,1
91,0.0007019877340655853,1.0,0
91,0.0008713933332761816,1.0,1
92,0.0007081451858918969,1.0,0
92,0.0008801316980433058,1.0,1
93,0.0007143650572758578,1.0,0
93,0.0008889565866978725,1.0,1
94,0.0007206479726683416,1.0,0
94,0.0008978688334689838,1.0,1
95,0.0007269945625815405,1.0,0
95,0.000906869280194354,1.0,1
96,0.0007334054636439115,1.0,0
96,0.0009159587763816673,1.0,1
97,0.0007398813186555382,1.0,0
97,0.0009251381792702924,1.0,1
98,0.0007464227766439172,1.0,0
98,0.0009344083538933443,1.0,1
99,0.0007530304929201638,1.0,0
99,0.0009437701731401015,1.0,1
100,0.0007597051291356417,1.0,0
100,0.0009532245178187691,1.0,1
101,0.0007664473533390201,1.0,0
101,0.0009627722767195934,1.0,1
102,0.0007732578400337554,1.0,0
102,0.0009724143466783268,1.0,1
103,0.0007801372702360017,1.0,0
103,0.000982151632640036,1.0,1
104,0.0007870863315329511,1.0,0
104,0.0009919850477232623,1.0,1
105,0.000794105718141606,1.0,0
105,0.0010019155132845257,1.0,1
106,0.000801196130967982,1.0,0
106,0.0010119439589831752,1.0,1
107,0.0008083582776667455,1.0,0
107,0.0010220713228465813,1.0,1
108,0.0008155928727012851,1.0,0
108,0.0010322985513356734,1.0,1
109,0.0008229006374042208,1.0,0
109,0.0010426265994108212,1.0,1
110,0.0008302823000383486,1.0,0
110,0.0010530564305980517,1.0,1
111,0.0008377385958580253,1.0,0
111,0.001063589017055611,1.0,1
112,0.0008452702671709917,1.0,0
112,0.0010742253396408613,1.0,1
113,0.0008528780634006354,1.0,0
113,0.0010849663879775153,1.0,1
114,0.0008605627411486971,1.0,0
114,0.0010958131605232062,1.0,1
115,0.000868325064258418,1.0,0
115,0.001106766664637393,1.0,1
116,0.0008761658038781304,1.0,0
116,0.001117827916649594,1.0,1
117,0.0008840857385252952,1.0,0
117,0.0011289979419279552,1.0,1
118,0.0008920856541509791,1.0,0
118,0.0011402777749481468,1.0,1
119,0.0009001663442047825,1.0,0
119,0.001151668459362583,1.0,1
120,0.0009083286097002115,1.0,0
120,0.001163171048069972,1.0,1
121,0.0009165732592804973,1.0,0
121,0.0011747866032851871,1.0,1
122,0.0009249011092848633,1.0,0
122,0.0011865161966094582,1.0,1
123,0.0009333129838152408,1.0,0
123,0.0011983609091008839,1.0,1
124,0.0009418097148034325,1.0,0
124,0.001210321831345259,1.0,1
125,0.0009503921420787252,1.0,0
125,0.0012224000635272189,1.0,1
126,0.0009590611134359519,1.0,0
126,0.0012345967155016969,1.0,1
127,0.0009678174847040055,1.0,0
127,0.0012469129068656843,1.0,1
128,0.0009766621198147984,1.0,0
128,0.0012593497670303144,1.0,1
129,0.0009855958908726748,1.0,0
129,0.0012719084352932292,1.0,1
130,0.0009946196782242753,1.0,0
130,0.0012845900609112701,1.0,1
131,0.0010037343705288431,1.0,0
131,0.001297395803173456,1.0,1
132,0.001012940864828994,1.0,0
132,0.001310326831474258,1.0,1
133,0.0010222400666219196,1.0,0
133,0.0013233843253871787,1.0,1
134,0.0010316328899310568,1.0,0
134,0.0013365694747386103,1.0,1
135,0.0010411202573781945,1.0,0
135,0.00134988347968199,1.0,1
136,0.0010507031002560344,1.0,0
136,0.0013633275507722376,1.0,1
137,0.0010603823586012016,1.0,0
137,0.0013769029090404728,1.0,1
138,0.0010701589812676993,1.0,0
138,0.001390610786069015,1.0,1
139,0.0010800339260008157,1.0,0
139,0.0014044524240666581,1.0,1
140,0.0010900081595114739,1.0,0
140,0.0014184290759442157,1.0,1
141,0.00110008265755103,1.0,0
141,0.0014325420053903362,1.0,1
142,0.0011102584049865157,1.0,0
142,0.0014467924869475816,1.0,1
143,0.0011205363958763273,1.0,0
143,0.0014611818060887736,1.0,1
144,0.001130917633546353,1.0,0
144,0.0014757112592935814,1.0,1
145,0.0011414031306665466,1.0,0
145,0.0014903821541253888,1.0,1
146,0.0011519939093279454,1.0,0
146,0.0015051958093083848,1.0,1
147,0.0011626910011201172,1.0,0
147,0.0015201535548049214,1.0,1
148,0.0011734954472090563,1.0,0
148,0.0015352567318930941,1.0,1
149,0.0011844082984155105,1.0,0
149,0.0015505066932445793,1.0,1
150,0.001195430615293746,1.0,0
150,0.0015659048030026899,1.0,1
151,0.0012065634682107429,1.0,0
151,0.0015814524368606676,1.0,1
152,0.001217807937425826,1.0,0
152,0.0015971509821401954,1.0,1
153,0.0012291651131707234,1.0,0
153,0.0016130018378701372,1.0,1
154,0.0012406360957300509,1.0,0
154,0.0016290064148654834,1.0,1
155,0.001252221995522228,1.0,0
155,0.0016451661358065114,1.0,1
156,0.0012639239331808105,1.0,0
156,0.0016614824353181554,1.0,1
157,0.0012757430396362517,1.0,0
157,0.0016779567600495745,1.0,1
158,0.0012876804561980715,1.0,0
158,0.0016945905687539109,1.0,1
159,0.001299737334637454,1.0,0
159,0.0017113853323682477,1.0,1
160,0.0013119148372702514,1.0,0
160,0.0017283425340937511,1.0,1
161,0.001324214137040398,1.0,0
161,0.0017454636694759864,1.0,1
162,0.0013366364176037335,1.0,0
162,0.0017627502464854152,1.0,1
163,0.0013491828734122358,1.0,0
163,0.001780203785598061,1.0,1
164,0.001361854709798645,1.0,0
164,0.0017978258198763364,1.0,1
165,0.0013746531430614945,1.0,0
165,0.0018156178950500354,1.0,1
166,0.0013875794005505323,1.0,0
166,0.0018335815695974644,1.0,1
167,0.001400634720752537,1.0,0
167,0.0018517184148267385,1.0,1
168,0.001413820353377515,1.0,0
168,0.0018700300149572038,1.0,1
169,0.0014271375594452893,1.0,0
169,0.0018885179672010009,1.0,1
170,0.0014405876113724634,1.0,0
170,0.0019071838818447546,1.0,1
171,0.00145417179305976,1.0,0
171,0.0019260293823313928,1.0,1
172,0.0014678913999797358,1.0,0
172,0.0019450561053420718,1.0,1
173,0.0014817477392648582,1.0,0
173,0.0019642657008782176,1.0,1
174,0.0014957421297959453,1.0,0
174,0.00198365983234367,1.0,1
175,0.00150987590229097,1.0,0
175,0.0020032401766269196,1.0,1
176,0.001524150399394208,1.0,0
176,0.0020230084241834416,1.0,1
177,0.0015385669757657394,1.0,0
177,0.0020429662791181056,1.0,1
178,0.0015531269981712932,1.0,0
178,0.002063115459267671,1.0,1
179,0.0015678318455724263,1.0,0
179,0.0020834576962833378,1.0,1
180,0.00158268290921704,1.0,0
180,0.0021039947357133714,1.0,1
181,0.0015976815927302185,1.0,0
181,0.0021247283370857853,1.0,1
182,0.0016128293122053884,1.0,0
182,0.002145660273991058,1.0,1
183,0.001628127496295799,1.0,0
183,0.0021667923341648983,1.0,1
184,0.0016435775863063063,1.0,0
184,0.0021881263195710514,1.0,1
185,0.0016591810362854606,1.0,0
185,0.0022096640464841135,1.0,1
186,0.0016749393131178943,1.0,0
186,0.0022314073455723823,1.0,1
187,0.0016908538966169924,1.0,0
187,0.002253358061980702,1.0,1
188,0.001706926279617858,1.0,0
188,0.002275518055413322,1.0,1
189,0.0017231579680705412,1.0,0
189,0.00229788920021675,1.0,1
190,0.0017395504811335458,1.0,0
190,0.0023204733854625785,1.0,1
191,0.0017561053512676,1.0,0
191,0.002343272515030308,1.0,1
192,0.0017728241243296706,1.0,0
192,0.0023662885076901293,1.0,1
193,0.0017897083596672388,1.0,0
193,0.0023895232971856677,1.0,1
194,0.0018067596302128062,1.0,0
194,0.0024129788323166866,1.0,1
195,0.0018239795225786367,1.0,0
195,0.0024366570770217324,1.0,1
196,0.001841369637151718,1.0,0
196,0.0024605600104607166,1.0,1
197,0.0018589315881889445,1.0,0
197,0.0024846896270974243,1.0,1
198,0.0018766670039125008,1.0,0
198,0.00250904793678195,1.0,1
199,0.0018945775266054523,1.0,0
199,0.002533636964833029,1.0,1
200,0.0019126648127075116,1.0,0
200,0.002558458752120289,1.0,1
201,0.0019309305329110013,1.0,0
201,0.002583515355146373,1.0,1
202,0.001949376372256975,1.0,0
202,0.00260880884612897,1.0,1
203,0.0019680040302315115,1.0,0
203,0.0026343413130826983,1.0,1
204,0.001986815220862149,1.0,0
204,0.0026601148599008618,1.0,1
205,0.0020058116728144774,1.0,0
205,0.0026861316064370733,1.0,1
206,0.0020249951294888493,1.0,0
206,0.002712393688586701,1.0,1
207,0.0020443673491172204,1.0,0
207,0.0027389032583681775,1.0,1
208,0.0020639301048601057,1.0,0
208,0.0027656624840041123,1.0,1
209,0.0020836851849036285,1.0,0
209,0.002792673550002235,1.0,1
210,0.0021036343925566704,1.0,0
210,0.002819938657236155,1.0,1
211,0.002123779546348097,1.0,0
211,0.002847460023025899,1.0,1
212,0.00214412248012405,1.0,0
212,0.0028752398812182402,1.0,1
213,0.0021646650431453055,1.0,0
213,0.0029032804822668274,1.0,1
214,0.002185409100184672,1.0,0
214,0.002931584093312056,1.0,1
215,0.002206356531624426,1.0,0
215,0.0029601529982607043,1.0,1
216,0.002227509233553772,1.0,0
216,0.0029889894978653354,1.0,1
217,0.002248869117866314,1.0,0
217,0.003018095909803404,1.0,1
218,0.002270438112357522,1.0,0
218,0.0030474745687561126,1.0,1
219,0.002292218160822189,1.0,0
219,0.003077127826486993,1.0,1
220,0.0023142112231518603,1.0,0
220,0.003107058051920158,1.0,1
221,0.0023364192754322275,1.0,0
221,0.0031372676312182895,1.0,1
222,0.0023588443100404657,1.0,0
222,0.003167758967860283,1.0,1
223,0.002381488335742506,1.0,0
223,0.0031985344827185776,1.0,1
224,0.0024043533777902363,1.0,0
224,0.00322959661413615,1.0,1
225,0.002427441478018603,1.0,0
225,0.003260947818003153,1.0,1
226,0.002450754694942609,1.0,0
226,0.0032925905678332125,1.0,1
227,0.0024742951038541957,1.0,0
227,0.0033245273548393245,1.0,1
228,0.0024980647969189843,1.0,0
228,0.003356760688009415,1.0,1
229,0.0025220658832728793,1.0,0
229,0.0033892930941814554,1.0,1
230,0.0025463004891184966,1.0,0
230,0.00342212711811823,1.0,1
231,0.0025707707578214284,1.0,0
231,0.0034552653225816475,1.0,1
232,0.0025954788500063,1.0,0
232,0.003488710288406643,1.0,1
233,0.0026204269436526395,1.0,0
233,0.0035224646145746476,1.0,1
234,0.0026456172341905045,1.0,0
234,0.003556530918286602,1.0,1
235,0.002671051934595885,1.0,0
235,0.003590911835035511,1.0,1
236,0.0026967332754858474,1.0,0
236,0.00362561001867853,1.0,1
237,0.002722663505213411,1.0,0
237,0.0036606281415085696,1.0,1
238,0.0027488448899621403,1.0,0
238,0.003695968894325402,1.0,1
239,0.0027752797138404306,1.0,0
239,0.0037316349865062597,1.0,1
240,0.00280197027897548,1.0,0
240,0.003767629146075925,1.0,1
241,0.002828918905606937,1.0,0
241,0.003803954119776277,1.0,1
242,0.002856127932180174,1.0,0
242,0.003840612673135313,1.0,1
243,0.0028835997154392184,1.0,0
243,0.0038776075905356004,1.0,1
244,0.002911336630519285,1.0,0
244,0.003914941675282171,1.0,1
245,0.0029393410710389094,1.0,0
245,0.0039526177496698464,1.0,1
246,0.002967615449191663,1.0,0
246,0.003990638655049946,1.0,1
247,0.0029961621958374436,1.0,0
247,0.004029007251896435,1.0,1
248,0.003024983760593282,1.0,0
248,0.0040677264198714265,1.0,1
249,0.003054082611923722,1.0,0
249,0.0041067990578900595,1.0,1
250,0.0030834612372306657,1.0,0
250,0.0041462280841847695,1.0,1
251,0.0031131221429427443,1.0,0
251,0.004186016436368861,1.0,1
252,0.0031430678546041473,1.0,0
252,0.004226167071499469,1.0,1
253,0.0031733009169629205,1.0,0
253,0.004266682966139802,1.0,1
254,0.00320382389405869,1.0,0
254,0.004307567116420732,1.0,1
255,0.003234639369309808,1.0,0
255,0.004348822538101659,1.0,1
256,0.0032657499455999166,1.0,0
256,0.004390452266630683,1.0,1
257,0.00329715824536387,1.0,0
257,0.00443245935720404,1.0,1
258,0.003328866910673034,1.0,0
258,0.004474846884824813,1.0,1
259,0.0033608786033199355,1.0,0
259,0.004517617944360885,1.0,1
260,0.0033931960049022243,1.0,0
260,0.004560775650602123,1.0,1
261,0.003425821816905955,1.0,0
261,0.004604323138316814,1.0,1
262,0.0034587587607881427,1.0,0
262,0.0046482635623072985,1.0,1
263,0.0034920095780586065,1.0,0
263,0.004692600097464786,1.0,1
264,0.0035255770303610472,1.0,0
264,0.004737335938823404,1.0,1
265,0.0035594638995533547,1.0,0
265,0.004782474301613383,1.0,1
266,0.003593672987787138,1.0,0
266,0.004828018421313424,1.0,1
267,0.003628207117586441,1.0,0
267,0.0048739715537022095,1.0,1
268,0.0036630691319256207,1.0,0
268,0.0049203369749090614,1.0,1
269,0.0036982618943063967,1.0,0
269,0.004967117981463709,1.0,1
270,0.003733788288834008,1.0,0
270,0.005014317890345187,1.0,1
271,0.003769651220292515,1.0,0
271,0.005061940039029817,1.0,1
272,0.0038058536142191617,1.0,0
272,0.005109987785538296,1.0,1
273,0.003842398416977834,1.0,0
273,0.005158464508481833,1.0,1
274,0.0038792885958315727,1.0,0
274,0.005207373607107373,1.0,1
275,0.0039165271390140975,1.0,0
275,0.0052567185013418505,1.0,1
276,0.003954117055800377,1.0,0
276,0.005306502631835491,1.0,1
277,0.003992061376576173,1.0,0
277,0.005356729460004131,1.0,1
278,0.004030363152906571,1.0,0
278,0.00540740246807055,1.0,1
279,0.0040690254576034555,1.0,0
279,0.00545852515910479,1.0,1
280,0.004108051384791942,1.0,0
280,0.005510101057063481,1.0,1
281,0.004147444049975702,1.0,0
281,0.005562133706828112,1.0,1
282,0.004187206590101205,1.0,0
282,0.005614626674242287,1.0,1
